id,full_name,html_url,stargazers_count,created_at,updated_at,primary_language,pull_requests_accepted,releases,total_issues,closed_issues
MDEwOlJlcG9zaXRvcnkyODQ1NzgyMw==,freeCodeCamp/freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp,410026,2014-12-24T17:49:19Z,2025-02-15T00:10:06Z,TypeScript,24319,0,18889,18725
MDEwOlJlcG9zaXRvcnkxMzQ5MTg5NQ==,EbookFoundation/free-programming-books,https://github.com/EbookFoundation/free-programming-books,350391,2013-10-11T06:50:37Z,2025-02-15T00:43:41Z,HTML,6787,0,1159,1130
MDEwOlJlcG9zaXRvcnkyMTczNzQ2NQ==,sindresorhus/awesome,https://github.com/sindresorhus/awesome,346993,2014-07-11T13:42:37Z,2025-02-15T00:38:01Z,,661,0,347,335
MDEwOlJlcG9zaXRvcnkxMzI3NTA3MjQ=,codecrafters-io/build-your-own-x,https://github.com/codecrafters-io/build-your-own-x,333876,2018-05-09T12:03:18Z,2025-02-15T00:50:34Z,Markdown,140,0,725,534
MDEwOlJlcG9zaXRvcnk1NDM0Njc5OQ==,public-apis/public-apis,https://github.com/public-apis/public-apis,327507,2016-03-20T23:49:42Z,2025-02-15T00:34:14Z,Python,1872,0,651,603
MDEwOlJlcG9zaXRvcnk2MDQ5MzEwMQ==,jwasham/coding-interview-university,https://github.com/jwasham/coding-interview-university,311878,2016-06-06T02:34:12Z,2025-02-14T23:44:35Z,,415,0,509,458
MDEwOlJlcG9zaXRvcnk4NTA3NzU1OA==,kamranahmedse/developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,308314,2017-03-15T13:45:52Z,2025-02-15T00:15:31Z,TypeScript,3314,1,2656,2521
MDEwOlJlcG9zaXRvcnk4MzIyMjQ0MQ==,donnemartin/system-design-primer,https://github.com/donnemartin/system-design-primer,289105,2017-02-26T16:15:28Z,2025-02-15T00:29:07Z,Python,199,0,318,87
MDEwOlJlcG9zaXRvcnkxNzc3MzY1MzM=,996icu/996.ICU,https://github.com/996icu/996.ICU,270251,2019-03-26T07:31:14Z,2025-02-14T17:33:45Z,,1068,0,0,0
MDEwOlJlcG9zaXRvcnkyMTI4OTExMA==,vinta/awesome-python,https://github.com/vinta/awesome-python,233945,2014-06-27T21:00:06Z,2025-02-15T00:27:21Z,Python,543,0,0,0
MDEwOlJlcG9zaXRvcnkxMDI3MDI1MA==,facebook/react,https://github.com/facebook/react,232259,2013-05-24T16:15:54Z,2025-02-14T23:23:30Z,JavaScript,11340,103,13506,12728
MDEwOlJlcG9zaXRvcnk4ODAxMTkwOA==,practical-tutorials/project-based-learning,https://github.com/practical-tutorials/project-based-learning,217553,2017-04-12T05:07:46Z,2025-02-14T23:51:44Z,,182,0,190,78
MDEwOlJlcG9zaXRvcnkzNjYzMzM3MA==,awesome-selfhosted/awesome-selfhosted,https://github.com/awesome-selfhosted/awesome-selfhosted,216495,2015-06-01T02:33:17Z,2025-02-15T00:38:01Z,,2393,1,803,803
MDEwOlJlcG9zaXRvcnkxMTczMDM0Mg==,vuejs/vue,https://github.com/vuejs/vue,208355,2013-07-29T03:24:51Z,2025-02-14T21:35:49Z,TypeScript,1136,249,10017,9663
MDEwOlJlcG9zaXRvcnk2MzQ3NjMzNw==,TheAlgorithms/Python,https://github.com/TheAlgorithms/Python,197322,2016-07-16T09:44:01Z,2025-02-14T23:07:01Z,Python,2911,0,1556,1492
MDEwOlJlcG9zaXRvcnkxMjY1NzcyNjA=,trekhleb/javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,190092,2018-03-24T07:47:04Z,2025-02-14T23:30:24Z,JavaScript,302,0,356,227
MDEwOlJlcG9zaXRvcnk0NTcxNzI1MA==,tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,187979,2015-11-07T01:19:20Z,2025-02-14T23:49:17Z,C++,29006,213,40227,39413
MDEwOlJlcG9zaXRvcnkyMzI1Mjk4,torvalds/linux,https://github.com/torvalds/linux,187684,2011-09-04T22:48:12Z,2025-02-15T00:35:51Z,C,10,0,0,0
