id,name,full_name,html_url,stargazers_count,language,forks,watchers,created_at
28457823,freeCodeCamp,freeCodeCamp/freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp,409775,TypeScript,38898,409775,2014-12-24T17:49:19Z
13491895,free-programming-books,EbookFoundation/free-programming-books,https://github.com/EbookFoundation/free-programming-books,349817,HTML,62782,349817,2013-10-11T06:50:37Z
21737465,awesome,sindresorhus/awesome,https://github.com/sindresorhus/awesome,345804,,28467,345804,2014-07-11T13:42:37Z
132750724,build-your-own-x,codecrafters-io/build-your-own-x,https://github.com/codecrafters-io/build-your-own-x,330261,Markdown,30584,330261,2018-05-09T12:03:18Z
54346799,public-apis,public-apis/public-apis,https://github.com/public-apis/public-apis,326923,Python,34676,326923,2016-03-20T23:49:42Z
60493101,coding-interview-university,jwasham/coding-interview-university,https://github.com/jwasham/coding-interview-university,311578,,77874,311578,2016-06-06T02:34:12Z
85077558,developer-roadmap,kamranahmedse/developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,307799,TypeScript,40277,307799,2017-03-15T13:45:52Z
83222441,system-design-primer,donnemartin/system-design-primer,https://github.com/donnemartin/system-design-primer,288415,Python,48025,288415,2017-02-26T16:15:28Z
177736533,996.ICU,996icu/996.ICU,https://github.com/996icu/996.ICU,270201,,21125,270201,2019-03-26T07:31:14Z
21289110,awesome-python,vinta/awesome-python,https://github.com/vinta/awesome-python,233144,Python,25235,233144,2014-06-27T21:00:06Z
10270250,react,facebook/react,https://github.com/facebook/react,232071,JavaScript,47509,232071,2013-05-24T16:15:54Z
88011908,project-based-learning,practical-tutorials/project-based-learning,https://github.com/practical-tutorials/project-based-learning,216060,,28166,216060,2017-04-12T05:07:46Z
36633370,awesome-selfhosted,awesome-selfhosted/awesome-selfhosted,https://github.com/awesome-selfhosted/awesome-selfhosted,215454,,10195,215454,2015-06-01T02:33:17Z
11730342,vue,vuejs/vue,https://github.com/vuejs/vue,208316,TypeScript,33721,208316,2013-07-29T03:24:51Z
63476337,Python,TheAlgorithms/Python,https://github.com/TheAlgorithms/Python,197073,Python,46232,197073,2016-07-16T09:44:01Z
126577260,javascript-algorithms,trekhleb/javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,189921,JavaScript,30468,189921,2018-03-24T07:47:04Z
45717250,tensorflow,tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,187796,C++,74497,187796,2015-11-07T01:19:20Z
2325298,linux,torvalds/linux,https://github.com/torvalds/linux,187146,C,55013,187146,2011-09-04T22:48:12Z
14440270,You-Dont-Know-JS,getify/You-Dont-Know-JS,https://github.com/getify/You-Dont-Know-JS,180898,,33585,180898,2013-11-16T02:37:24Z
